mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,heldout-single-192,average_tpot_ms,ms,40,40,157.4888663233871,157.4888663233871,135.00712819354837,-14.275128556500505,14.225141283151133,14.275128556500498,-14.98699613452125,-13.688685027682176
hybrid,heldout-single-192,output_tokens_per_second,tokens/s,40,40,6.121848191383893,6.121848191383893,7.052132662219892,15.196137534826736,15.255538862065965,15.196137534826722,14.503273677282468,16.059560877843396
hybrid,heldout-single-192,request_latency_ms,ms,40,40,5229.874976925,5229.874976925,4537.326223,-13.24216653324658,13.197430212527316,13.242166533246591,-13.921020507614791,-12.685252190945548
hybrid,heldout-single-192,last_token_latency_ms,ms,40,40,5229.52401335,5229.52401335,4537.326223,-13.236344045518255,13.19161297093633,13.236344045518258,-13.915109485004452,-12.679597785966624
hybrid,heldout-single-192,exact_itl_ms,ms,40,40,157.4888663233871,157.4888663233871,135.00712819354837,-14.275128556500505,14.225141283151133,14.275128556500501,-14.98699613452125,-13.688685027682176
hybrid,heldout-burst-192,ttft_ms,ms,40,40,399.36528661250003,399.36528661250003,530.20187255,32.7611313059488,34.66533650633283,32.76113130594882,28.001139078447874,37.81818656485589
hybrid,heldout-burst-192,average_tpot_ms,ms,40,40,162.36028001612902,162.36028001612902,142.78626690322577,-12.055912388768208,12.009991770612574,12.055912388768212,-12.74732620790861,-11.479955773924678
hybrid,heldout-burst-192,output_tokens_per_second,tokens/s,40,40,11.786778439855125,11.786778439855125,12.737153390583584,8.063059432040532,8.136994721803013,8.063059432040541,7.266134561474838,8.987181580469095
hybrid,heldout-burst-192,request_latency_ms,ms,40,40,5433.213799475,5433.213799475,4956.576146549999,-8.772665139204673,8.710253890149522,8.772665139204669,-9.578410977924886,-8.061629729573081
hybrid,heldout-burst-192,last_token_latency_ms,ms,40,40,5432.5339671125,5432.5339671125,4956.576146549999,-8.76124886551758,8.698845726958446,8.761248865517578,-9.566929021383944,-8.050228510973056
hybrid,heldout-burst-192,exact_itl_ms,ms,40,40,162.36028001612902,162.36028001612902,142.78626690322577,-12.055912388768208,12.009991770612576,12.055912388768212,-12.74732620790861,-11.479955773924678
hybrid,heldout-single-384,ttft_ms,ms,40,40,351.237471625,351.237471625,352.037158,0.2276768396322293,0.5633826982586763,0.562377774176926,0.023621893053373814,0.43477701828183607
hybrid,heldout-single-384,average_tpot_ms,ms,40,40,156.5460212766129,156.5460212766129,134.66116274193553,-13.979824179630452,13.953475586234546,13.979824179630452,-14.51485342309335,-13.582477415439099
hybrid,heldout-single-384,output_tokens_per_second,tokens/s,40,40,6.150156985343514,6.150156985343514,7.068916548814009,14.938798564979683,14.969665141932333,14.938798564979686,14.473238523355949,15.568034653501336
hybrid,heldout-single-384,request_latency_ms,ms,40,40,5204.51660595,5204.51660595,4526.533203000002,-13.02682754772848,13.003469381813085,13.026827547728482,-13.528273558199901,-12.651177968932604
hybrid,heldout-single-384,last_token_latency_ms,ms,40,40,5204.1641312,5204.1641312,4526.533203000002,-13.02093690968481,12.997579987560025,13.0209369096848,-13.52234578401648,-12.645261935702893
hybrid,heldout-single-384,exact_itl_ms,ms,40,40,156.5460212766129,156.5460212766129,134.66116274193553,-13.979824179630452,13.953475586234546,13.979824179630452,-14.51485342309335,-13.582477415439088
